Date : 2025-04-27 13:37:05
Directory : c:\Users\gsam9\Desktop\projects\GoTrip\frontend
Total : 154 files,  16668 codes, 7105 comments, 1971 blanks, all 25744 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |        108 |     15,150 |      6,811 |      1,689 |     23,650 |
| C++             |         16 |        563 |        131 |        189 |        883 |
| XML             |         10 |        478 |         53 |         16 |        547 |
| JSON            |          4 |        248 |          0 |          4 |        252 |
| Swift           |          6 |         73 |          7 |         21 |        101 |
| Gradle          |          3 |         69 |          8 |         15 |         92 |
| YAML            |          2 |         47 |         80 |         21 |        148 |
| HTML            |          1 |         19 |         15 |          5 |         39 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        154 |     16,668 |      7,105 |      1,971 |     25,744 |
| gotrip                                                                                                                |        154 |     16,668 |      7,105 |      1,971 |     25,744 |
| gotrip (Files)                                                                                                        |          3 |         57 |         80 |         28 |        165 |
| gotrip\android                                                                                                        |         12 |        151 |         59 |         30 |        240 |
| gotrip\android (Files)                                                                                                |          3 |         40 |          2 |          9 |         51 |
| gotrip\android\app                                                                                                    |          8 |        106 |         57 |         20 |        183 |
| gotrip\android\app (Files)                                                                                            |          1 |         32 |          6 |          7 |         45 |
| gotrip\android\app\src                                                                                                |          7 |         74 |         51 |         13 |        138 |
| gotrip\android\app\src\debug                                                                                          |          1 |          3 |          4 |          1 |          8 |
| gotrip\android\app\src\main                                                                                           |          5 |         68 |         43 |         11 |        122 |
| gotrip\android\app\src\main (Files)                                                                                   |          1 |         42 |         11 |          5 |         58 |
| gotrip\android\app\src\main\res                                                                                       |          4 |         26 |         32 |          6 |         64 |
| gotrip\android\app\src\main\res\drawable                                                                              |          1 |          4 |          7 |          2 |         13 |
| gotrip\android\app\src\main\res\drawable-v21                                                                          |          1 |          4 |          7 |          2 |         13 |
| gotrip\android\app\src\main\res\values                                                                                |          1 |          9 |          9 |          1 |         19 |
| gotrip\android\app\src\main\res\values-night                                                                          |          1 |          9 |          9 |          1 |         19 |
| gotrip\android\app\src\profile                                                                                        |          1 |          3 |          4 |          1 |          8 |
| gotrip\android\gradle                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| gotrip\android\gradle\wrapper                                                                                         |          1 |          5 |          0 |          1 |          6 |
| gotrip\ios                                                                                                            |          8 |        229 |          4 |         13 |        246 |
| gotrip\ios\Runner                                                                                                     |          7 |        222 |          2 |          9 |        233 |
| gotrip\ios\Runner (Files)                                                                                             |          2 |         13 |          0 |          3 |         16 |
| gotrip\ios\RunnerTests                                                                                                |          1 |          7 |          2 |          4 |         13 |
| gotrip\ios\Runner\Assets.xcassets                                                                                     |          3 |        148 |          0 |          4 |        152 |
| gotrip\ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                  |          1 |        122 |          0 |          1 |        123 |
| gotrip\ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                |          2 |         26 |          0 |          3 |         29 |
| gotrip\ios\Runner\Base.lproj                                                                                          |          2 |         61 |          2 |          2 |         65 |
| gotrip\lib                                                                                                            |        107 |     15,136 |      6,801 |      1,682 |     23,619 |
| gotrip\lib (Files)                                                                                                    |          1 |         45 |          2 |          8 |         55 |
| gotrip\lib\bindings                                                                                                   |         21 |        216 |         33 |         46 |        295 |
| gotrip\lib\constants                                                                                                  |          2 |          4 |          1 |          1 |          6 |
| gotrip\lib\controllers                                                                                                |         21 |      2,795 |        686 |        503 |      3,984 |
| gotrip\lib\helper                                                                                                     |          1 |         15 |          2 |          4 |         21 |
| gotrip\lib\model                                                                                                      |         16 |      1,190 |         33 |        235 |      1,458 |
| gotrip\lib\model (Files)                                                                                              |          4 |        176 |          4 |         35 |        215 |
| gotrip\lib\model\booking_model                                                                                        |          8 |        900 |         19 |        169 |      1,088 |
| gotrip\lib\model\payment_model                                                                                        |          2 |         47 |          4 |         14 |         65 |
| gotrip\lib\model\user_model                                                                                           |          2 |         67 |          6 |         17 |         90 |
| gotrip\lib\network                                                                                                    |          2 |         63 |          6 |         12 |         81 |
| gotrip\lib\pages                                                                                                      |         35 |     10,414 |      5,943 |        839 |     17,196 |
| gotrip\lib\pages (Files)                                                                                              |          6 |      1,168 |        405 |         88 |      1,661 |
| gotrip\lib\pages\authentication                                                                                       |          8 |      2,013 |        552 |        195 |      2,760 |
| gotrip\lib\pages\bookings                                                                                             |          8 |      2,522 |      1,519 |        215 |      4,256 |
| gotrip\lib\pages\driver_main_pages.dart                                                                               |          5 |      1,808 |        190 |         83 |      2,081 |
| gotrip\lib\pages\main_pages                                                                                           |          4 |      1,899 |      3,232 |        187 |      5,318 |
| gotrip\lib\pages\payment                                                                                              |          1 |        531 |         18 |         40 |        589 |
| gotrip\lib\pages\profile                                                                                              |          1 |        125 |          1 |          7 |        133 |
| gotrip\lib\pages\splash_screen                                                                                        |          1 |         84 |          6 |         10 |        100 |
| gotrip\lib\pages\vehicles                                                                                             |          1 |        264 |         20 |         14 |        298 |
| gotrip\lib\routes                                                                                                     |          2 |         97 |         13 |          7 |        117 |
| gotrip\lib\utils                                                                                                      |          4 |        226 |          4 |         19 |        249 |
| gotrip\lib\widgets                                                                                                    |          2 |         71 |         78 |          8 |        157 |
| gotrip\linux                                                                                                          |          5 |        111 |         37 |         45 |        193 |
| gotrip\linux\flutter                                                                                                  |          2 |         16 |          9 |         11 |         36 |
| gotrip\linux\runner                                                                                                   |          3 |         95 |         28 |         34 |        157 |
| gotrip\macos                                                                                                          |          6 |        465 |          5 |         17 |        487 |
| gotrip\macos\Flutter                                                                                                  |          1 |         24 |          3 |          4 |         31 |
| gotrip\macos\Runner                                                                                                   |          4 |        434 |          0 |          9 |        443 |
| gotrip\macos\Runner (Files)                                                                                           |          2 |         23 |          0 |          7 |         30 |
| gotrip\macos\RunnerTests                                                                                              |          1 |          7 |          2 |          4 |         13 |
| gotrip\macos\Runner\Assets.xcassets                                                                                   |          1 |         68 |          0 |          1 |         69 |
| gotrip\macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                |          1 |         68 |          0 |          1 |         69 |
| gotrip\macos\Runner\Base.lproj                                                                                        |          1 |        343 |          0 |          1 |        344 |
| gotrip\test                                                                                                           |          1 |         14 |         10 |          7 |         31 |
| gotrip\web                                                                                                            |          2 |         54 |         15 |          6 |         75 |
| gotrip\windows                                                                                                        |         10 |        451 |         94 |        143 |        688 |
