Date : 2025-04-27 13:34:14
Directory : c:\Users\gsam9\Desktop\projects\GoTrip\backend
Total : 6673 files,  1737671 codes, 212150 comments, 278537 blanks, all 2228358 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\dashboard\templatetags\__init__.py                                                                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\dashboard\templatetags\jet_dashboard_tags.py                                                                | Python           |         15 |          1 |          8 |         24 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\dashboard\urls.py                                                                                           | Python           |         59 |          0 |          7 |         66 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\dashboard\utils.py                                                                                          | Python           |         16 |          0 |          5 |         21 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\dashboard\views.py                                                                                          | Python           |        189 |          0 |         54 |        243 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\filters.py                                                                                                  | Python           |         67 |          2 |         18 |         87 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\forms.py                                                                                                    | Python           |        118 |          2 |         32 |        152 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\management\__init__.py                                                                                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\management\commands\__init__.py                                                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\management\commands\jet_custom_apps_example.py                                                              | Python           |         36 |          0 |         14 |         50 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\management\commands\jet_side_menu_items_example.py                                                          | Python           |         39 |          0 |         15 |         54 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\migrations\0001_initial.py                                                                                  | Python           |         57 |          1 |          6 |         64 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\migrations\0001_squashed_0004_auto_20201228_1802.py                                                         | Python           |         41 |          1 |          8 |         50 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\migrations\0002_delete_userdashboardmodule.py                                                               | Python           |         11 |          1 |          6 |         18 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\migrations\0003_auto_20201228_1540.py                                                                       | Python           |         15 |          1 |          6 |         22 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\migrations\0004_auto_20201228_1802.py                                                                       | Python           |         15 |          1 |          6 |         22 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\migrations\0005_alter_bookmark_id_alter_pinnedapplication_id.py                                             | Python           |         21 |          1 |          5 |         27 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\migrations\0006_userdashboardmodule.py                                                                      | Python           |         63 |          1 |          5 |         69 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\migrations\__init__.py                                                                                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\models.py                                                                                                   | Python           |         25 |          0 |         10 |         35 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\ordered_set.py                                                                                              | Python           |         48 |          0 |         12 |         60 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\settings.py                                                                                                 | Python           |          7 |          3 |          4 |         14 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\south_migrations\0001_initial.py                                                                            | Python           |         69 |          7 |         12 |         88 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\south_migrations\0002_auto__del_userdashboardmodule.py                                                      | Python           |         39 |          3 |          8 |         50 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\south_migrations\__init__.py                                                                                | Python           |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\admin\css\base.css                                                                                   | CSS              |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\admin\css\changelists.css                                                                            | CSS              |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\admin\css\dashboard.css                                                                              | CSS              |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\admin\css\fonts.css                                                                                  | CSS              |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\admin\css\forms.css                                                                                  | CSS              |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\admin\css\login.css                                                                                  | CSS              |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\admin\css\rtl.css                                                                                    | CSS              |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\admin\css\widgets.css                                                                                | CSS              |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\admin\js\SelectFilter2.js                                                                            | JavaScript       |          3 |          0 |          1 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\admin\js\admin\DateTimeShortcuts.js                                                                  | JavaScript       |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\admin\js\admin\RelatedObjectLookups.js                                                               | JavaScript       |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\admin\js\related-widget-wrapper.js                                                                   | JavaScript       |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_base.scss                                                                                   | SCSS             |        133 |          5 |         36 |        174 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_breadcrumbs.scss                                                                            | SCSS             |         43 |          1 |          9 |         53 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_changeform.scss                                                                             | SCSS             |        833 |         41 |        195 |      1,069 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_changelist.scss                                                                             | SCSS             |        368 |          7 |         89 |        464 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_content.scss                                                                                | SCSS             |        221 |         14 |         63 |        298 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_dashboard.scss                                                                              | SCSS             |        407 |          3 |        104 |        514 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_delete-confirmation.scss                                                                    | SCSS             |         77 |          0 |         16 |         93 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_forms.scss                                                                                  | SCSS             |        137 |          3 |         26 |        166 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_globals.scss                                                                                | SCSS             |          3 |          0 |          1 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_header.scss                                                                                 | SCSS             |        232 |          1 |         46 |        279 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_helpers.scss                                                                                | SCSS             |        119 |         19 |         26 |        164 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_login.scss                                                                                  | SCSS             |         95 |          1 |         23 |        119 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_messages.scss                                                                               | SCSS             |         91 |          1 |         21 |        113 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_modules.scss                                                                                | SCSS             |         43 |          1 |         12 |         56 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_object-tools.scss                                                                           | SCSS             |         56 |          1 |         13 |         70 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_relatedpopup.scss                                                                           | SCSS             |         91 |          1 |         13 |        105 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_sidebar.scss                                                                                | SCSS             |        469 |          1 |         94 |        564 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_tables.scss                                                                                 | SCSS             |        153 |          6 |         39 |        198 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\_variables.scss                                                                              | SCSS             |        127 |         34 |         46 |        207 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\icons\_variables.scss                                                                        | SCSS             |         34 |          0 |          3 |         37 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\icons\fonts\jet-icons.svg                                                                    | XML              |         43 |          0 |          0 |         43 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\icons\style.css                                                                              | CSS              |        120 |          2 |          5 |        127 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\jquery-ui\_jquery-ui.theme.scss                                                              | SCSS             |        121 |          0 |         24 |        145 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\select2\_layout.scss                                                                         | SCSS             |        131 |          0 |         32 |        163 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\select2\_multiple.scss                                                                       | SCSS             |         72 |          0 |         13 |         85 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\select2\_single.scss                                                                         | SCSS             |         46 |          0 |          9 |         55 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\default\_variables.scss                                                               | SCSS             |          0 |          3 |          0 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\default\base.css                                                                      | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\default\base.scss                                                                     | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\default\jquery-ui.theme.css                                                           | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\default\jquery-ui.theme.scss                                                          | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\default\select2.theme.css                                                             | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\default\select2.theme.scss                                                            | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\green\_variables.scss                                                                 | SCSS             |        121 |         34 |         44 |        199 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\green\base.css                                                                        | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\green\base.scss                                                                       | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\green\jquery-ui.theme.css                                                             | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\green\jquery-ui.theme.scss                                                            | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\green\select2.theme.css                                                               | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\green\select2.theme.scss                                                              | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-blue\_variables.scss                                                            | SCSS             |        122 |         34 |         45 |        201 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-blue\base.css                                                                   | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-blue\base.scss                                                                  | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-blue\jquery-ui.theme.css                                                        | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-blue\jquery-ui.theme.scss                                                       | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-blue\select2.theme.css                                                          | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-blue\select2.theme.scss                                                         | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-gray\_variables.scss                                                            | SCSS             |        122 |         34 |         45 |        201 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-gray\base.css                                                                   | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-gray\base.scss                                                                  | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-gray\jquery-ui.theme.css                                                        | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-gray\jquery-ui.theme.scss                                                       | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-gray\select2.theme.css                                                          | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-gray\select2.theme.scss                                                         | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-green\_variables.scss                                                           | SCSS             |        122 |         34 |         45 |        201 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-green\base.css                                                                  | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-green\base.scss                                                                 | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-green\jquery-ui.theme.css                                                       | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-green\jquery-ui.theme.scss                                                      | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-green\select2.theme.css                                                         | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-green\select2.theme.scss                                                        | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-violet\_variables.scss                                                          | SCSS             |        122 |         34 |         45 |        201 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-violet\base.css                                                                 | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-violet\base.scss                                                                | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-violet\jquery-ui.theme.css                                                      | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-violet\jquery-ui.theme.scss                                                     | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-violet\select2.theme.css                                                        | CSS              |          1 |          1 |          2 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\themes\light-violet\select2.theme.scss                                                       | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\css\vendor.css                                                                                   | CSS              |         20 |        155 |          0 |        175 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\build\bundle.min.js                                                                           | JavaScript       |         14 |          0 |          0 |         14 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-cs.js                                          | JavaScript       |         10 |          2 |          1 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-de.js                                          | JavaScript       |         10 |          2 |          1 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-es.js                                          | JavaScript       |         10 |          2 |          1 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-fr.js                                          | JavaScript       |         10 |          3 |          0 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-hr.js                                          | JavaScript       |         10 |          2 |          1 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-hu.js                                          | JavaScript       |         10 |          2 |          0 |         12 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-it.js                                          | JavaScript       |         10 |          2 |          0 |         12 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-ja.js                                          | JavaScript       |         10 |          2 |          1 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-mk.js                                          | JavaScript       |         10 |          2 |          1 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-nl.js                                          | JavaScript       |         10 |          2 |          0 |         12 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-pl.js                                          | JavaScript       |         10 |          2 |          0 |         12 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-pt-BR.js                                       | JavaScript       |         10 |          2 |          0 |         12 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-ru.js                                          | JavaScript       |         10 |          2 |          0 |         12 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-sl.js                                          | JavaScript       |         10 |          2 |          1 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-sv.js                                          | JavaScript       |         10 |          2 |          1 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui-timepicker\jquery.ui.timepicker-tr.js                                          | JavaScript       |         10 |          2 |          0 |         12 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-af.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-ar-DZ.js                                                            | JavaScript       |         27 |          4 |          7 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-ar.js                                                               | JavaScript       |         27 |          5 |          7 |         39 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-az.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-be.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-bg.js                                                               | JavaScript       |         29 |          4 |          6 |         39 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-bs.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-ca.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-cs.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-cy-GB.js                                                            | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-da.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-de.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-el.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-en-AU.js                                                            | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-en-GB.js                                                            | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-en-NZ.js                                                            | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-eo.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-es.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-et.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-eu.js                                                               | JavaScript       |         28 |          3 |          6 |         37 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-fa.js                                                               | JavaScript       |         63 |          5 |          6 |         74 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-fi.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\jet\static\jet\js\i18n\jquery-ui\datepicker-fo.js                                                               | JavaScript       |         28 |          4 |          6 |         38 |
